Reference #,Title,Agency,Contract Value
DHW0432025,Department of Education - Rostrata Primary School - New Primary School Block SIP EC25 - Architectural Services,Department of Housing and Works,"$ 255,672.00 "
DHW0280925,Western Australian Museum - WA Maritime Museum - Crane Removal,Department of Housing and Works,"$ 488,642.00 "
EMHS202413393,Interpreter Management System for East Metropolitan Health Service,East Metropolitan Health Service,"$ 565,666.00 "
GC2500093,Foundation slab,Gold Corporation,"$ 57,384.00 "
HSS202515297,Services of a Solution Architect,Health Support Services,"$ 217,250.00 "
MRWA0349240174,Provision of Temporary Personnel - OMTID - Business Services - Project Support Officer,Main Roads Western Australia,"$ 64,819.00 "
MRWA0349240173,Provision of Temporary Personnel - Major Projects - Cost Management Officer,Main Roads Western Australia,"$ 101,404.00 "
MRWA0349240162,Provision of Temporary Personnel - Business Support Officer - Metropolitan Region,Main Roads Western Australia,"$ 54,926.00 "
MRWA0165210024,Construction of the bus priorisation project at the intersection of Scarborough Beach Road and West Coast Highway,Main Roads Western Australia,"$ 2,645,522.00 "
ODPPADM2025339,Automated Transcription Services - Technical Specialist - CUAICTS2021,Office of the Director of Public Prosecutions for WA,"$ 49,500.00 "
PROMSA25069,BMS System Upgrade - Art Gallery of Western Australia,Programmed Facility Management,"$ 265,900.00 "
PRODOC25078,MWG Refurbishment 51 Foss Crescent Carnarvon,Programmed Facility Management,"$ 237,150.00 "
PTA251043,Civil & Structural project Engineer - HCS,Public Transport Authority,"$ 1,322,750.00 "
DBCARIAT8625,Ferry Passenger Commuter Service from Hillarys Marina,Rottnest Island Authority,"$ 990,000.00 "
VWFMAJ25001,Arena Joondalup - Sports Lighting Repairs,VenuesWest,"$ 90,460.00 "
WAPOL10425,Provision of Business Analyst Services - Firearms Reform Program,Western Australia Police Force,"$ 3,161,000.00 "
20251725WAM,Provision of a Replacement Work Vessel for the Maritime Heritage Department,Western Australian Museum,"$ 241,885.00 "
ED251907,Electricity for Tuart Rise Primary School (CUAELC2012),Department of Education,"$ 75,311.00 "
DFESPOREQ0006953,Test Analyst,Department of Fire and Emergency Services,"$ 127,295.00 "
DFES233724,Provision of Security and Monitoring Services for the Cockburn Emergency Services Complex and Other Nominated DFES Sites,Department of Fire and Emergency Services,"$ 2,500,000.00 "
FINW0590624,Department of Education - Newton Moore Senior High School - Air Conditioning Upgrade,Department of Housing and Works,"$ 621,664.00 "
DHW0742502822,Department of Fire and Emergency Services - Wickham VFRS - Station and Bathroom Remediation Works,Department of Housing and Works,"$ 53,025.00 "
DHW049425,Main Roads Department - 43 Songlark Loop Broome - Residential Shed Installation,Department of Housing and Works,"$ 29,731.00 "
DHW0429425,Main Roads WA - 43 Songlark Loop Broome - Installation of Residential Garden Shed,Department of Housing and Works,"$ 35,231.00 "
DHW0401125,Department of Education -  Primary and School Secondary School sites in the Perth Metropolitan Region -  Lead/Architectural Consultancy Services,Department of Housing and Works,"$ 1,533,950.00 "
DHW0399424,Department of Primary Industries and Regional Development - Kununurra Quarantine Services Stock Yards - Construction of Hay Shed,Department of Housing and Works,"$ 406,077.00 "
DHW0385925,Department of Education - North Albany Senior High School - Additions and Alterations - Election Commitment 2025 (EC25) - Cost Management Services,Department of Housing and Works,"$ 215,283.00 "
DHW0251925,Department of Education - Byford Primary School - New Kindergarten and Pre-Primary Block - Time Planning Services,Department of Housing and Works,"$ 10,989.00 "
DHW0086825,Main Roads of WA - Bunbury OFP Building - Eaves replacement and Internal/External Painting,Department of Housing and Works,"$ 224,279.00 "
LGIRS25375,Check Point Gateway Services Renewal 2025-26,"Department of Local Government, Industry Regulation and Safety","$ 197,935.00 "
LGIRS25319,Known Associates Australia Pty Ltd,"Department of Local Government, Industry Regulation and Safety","$ 82,648.00 "
DPC2419,WA Stolen Generation Redress Scheme - CRM Development Services,Department of the Premier and Cabinet,"$ 240,000.00 "
DOT410625,Power BI Reporting Development,Department of Transport and Major Infrastructure,"$ 71,379.00 "
DWER103125,Survey and Analysis of Litter in the Perth Metropolitan Area,Department of Water and Environmental Regulation,"$ 328,619.00 "
MRWA0349240177,Provision of Temporary Personnel - OMTID - Business Services - Project Support Officer,Main Roads Western Australia,"$ 64,819.00 "
PROMSA25117,Children's Garden Upgrade - Lake Monger PS,Programmed Facility Management,"$ 132,087.00 "
PROMSA250102,Design and Construct Senior Playground - Alkimos Primary School,Programmed Facility Management,"$ 139,920.00 "
M24001FFE,Arena Joondalup - Lap Pool Redevelopment - Aquatic FFE,VenuesWest,"$ 69,190.00 "
WACHS202514800,Provision of Automatic Doors to Karlarra House,WA Country Health Service,"$ 98,079.00 "
TWA2425195,Tourism Opportunity Analysis Abrolhos Islands,Western Australian Tourism Commission,"$ 82,885.00 "
DBCA411GT0572025,Culvert and Drainage Materials - Aluminium and Concrete,"Department of Biodiversity, Conservation and Attractions","$ 1,000,000.00 "
ED251146,2026 Canberra Tour for Melville Senior High School,Department of Education,"$ 60,282.00 "
DHW0296525,Department of Education - North Dandalup Primary School - Delivery Installation of 1 x GLA Module,Department of Housing and Works,"$ 76,600.00 "
DHW0169025,Department of Education - Geraldton Residential College - CCTV Upgrade,Department of Housing and Works,"$ 135,135.00 "
ERA2025233,Access to Bloomberg Terminal costs - 21/12/2025-20/12/2026,Economic Regulation Authority,"$ 60,000.00 "
LW25172,Temporary Personnel Services - Senior Gaming and Web App Analysis Officer,Lotterywest,"$ 92,735.00 "
OAG01825,OAG Network Equipment,Office of the Auditor General for Western Australia,"$ 31,168.00 "
OAG01725,OAG Network Communications,Office of the Auditor General for Western Australia,"$ 250,640.00 "
OAG01625,OAG IT equipment colocation,Office of the Auditor General for Western Australia,"$ 164,956.00 "
WACHS202514240,Youth Mental Health Services for the Warren Blackwood District,WA Country Health Service,"$ 2,331,354.00 "
DHW0342225,Department of Education - Wanarn Remote Community School - Replace Administration Transportable Vinyl Flooring,Department of Housing and Works,"$ 80,724.00 "
DBCA416SQ0362025,Vessel Charter Services – South Coast WA,"Department of Biodiversity, Conservation and Attractions","$ 180,000.00 "
CITS2555,Optus Mobile Telephony Services,"Department of Creative Industries, Tourism and Sport","$ 34,699.00 "
JTSI2425055,Financial Assessment Services for the Investment Attraction Fund,Department of Energy and Economic Diversification,"$ 319,890.00 "
DoH202514887,James Cook University Enhanced Access Community Pharmacy Pilot Education Grant,Department of Health (Royal Street),"$ 65,000.00 "
DHW0441225,WA Police - Broome Police Station - CCTV Upgrade,Department of Housing and Works,"$ 83,762.00 "
DHW0411925S,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 519,007.00 "
DHW0383325,Department of Education - Lake Grace District High School - Stage 2 Accessibility Works,Department of Housing and Works,"$ 133,001.00 "
DHW0340325,Department of Training and Workforce Development - Central Regional TAFE Merredin - Toilet Refurbishment Works,Department of Housing and Works,"$ 120,720.00 "
DPIRD2025244,Project Management Services for Integration Platform Upgrade Project - Temporary Personnel,Department of Primary Industries and Regional Development,"$ 247,111.00 "
EMHS202515287,AKG Transcription Services,East Metropolitan Health Service,"$ 140,000.00 "
GC2500104,Taxation Consultancy Service (Under CUAAFA2024),Gold Corporation,"$ 164,450.00 "
MRWA0346240003,Procurement of networking equipment FBA Project,Main Roads Western Australia,"$ 23,525.00 "
MRWA011525,Provision of Aboriginal Heritage Services for the Marble Bar Road Upgrades – Skull Springs Road Intersection,Main Roads Western Australia,"$ 242,236.00 "
MRWA0044210019,Provision of Pavement Repairs for Various Roads - Midwest-Gascoyne Region,Main Roads Western Australia,"$ 10,353,687.00 "
MCB20252607,Supply & delivery of assorted Cremation Urns across all MCB's sites,Metropolitan Cemeteries Board,"$ 245,000.00 "
DBCARIAQ2826,Mt Herschel Workers Accommodation LV Connection,Rottnest Island Authority,"$ 122,645.00 "
DBCARIAQ1826,Transportable Generator Connection Point,Rottnest Island Authority,"$ 240,740.00 "
DBCA758CUA1142025,IT Service Catalogue and Taxonomy and Cost Transparency Model,"Department of Biodiversity, Conservation and Attractions","$ 197,142.00 "
ED240725,Bus for Melville Senior High School,Department of Education,"$ 321,431.00 "
DEED2526017,Investment Attraction Fund – Application review and evaluation,Department of Energy and Economic Diversification,"$ 112,920.00 "
FINW0117325,Department of Finance - Provision of Routine Maintenance for Back Up Power Supply Systems - Kimberley Region - Various Sites - Various Agencies,Department of Housing and Works,"$ 731,210.00 "
DHW0429125,Department of Health - Graylands Campus - Interim Architectural Services,Department of Housing and Works,"$ 110,000.00 "
DHW0253125,Department of Education - Esperance Senior High School - Switchboard Replacement Works,Department of Housing and Works,"$ 492,292.00 "
DPLHPE013500,Engagement of Senior Financial Accountant under CUATPS2024,"Department of Planning, Lands and Heritage","$ 72,100.00 "
ICWAIPP1616,Senior Scrum Master,Insurance Commission of Western Australia,"$ 173,030.00 "
MRWA007124,Coolgardie Esperance Highway - Esperance Airport Access Road Upgrade - Goldfields-Esperance Region,Main Roads Western Australia,"$ 1,519,329.00 "
MRWA0036200019,Panel Contract for the Provision of Asphalt Resurfacing - Metropolitan Region,Main Roads Western Australia,"$ 5,090,975.00 "
PTA106801,Fire Project Engineer - Perth Convention & Exhibition Centre,Public Transport Authority,"$ 57,220.00 "
SMT2025204,Provision of Reticulated Gas Supply,South Metropolitan TAFE,"$ 178,760.00 "
P25034,Arena Joondalup Toilet block 4 refurbishment,VenuesWest,"$ 354,265.00 "
WAPOL13925,Provision of External Wall Restoration at Lancelin Police Station,Western Australia Police Force,"$ 56,202.00 "
WAPOL10325,Provision of UIUX Designer Services - Firearms Reform Program,Western Australia Police Force,"$ 1,500,000.00 "
WAPOL06425,School Drug Education and Road Safety Aware Program Evaluation,Western Australia Police Force,"$ 164,186.00 "
ED251032,Japan school tour for North Albany Senior High School,Department of Education,"$ 95,200.00 "
DHW0423825,Provision of Routine Maintenance for Fire Protection and Detection Equipment Bridging Services - Various Agencies - Various Sites - Pilbara Region,Department of Housing and Works,"$ 28,056.00 "
DHW0393425,"Department of Education - Provision of Routine Maintenance, for Manual Arts Equipment - Various Sites - Southern Region",Department of Housing and Works,"$ 244,394.00 "
DHW0316025,Department of Education - North Albany Senior High School - Replacement of Superceded Fire Equipment - Architectural Services,Department of Housing and Works,"$ 86,902.00 "
DHW0183225,Department of Education - Esperance Senior High School - Residual Current Devices (RCD) Rectification Works,Department of Housing and Works,"$ 81,704.00 "
202539216,Construction of 2 - 3 Bed x 1 Bath Residential Dwellings,Department of Housing and Works,"$ 749,267.00 "
202539215,Construction of 2 - 3 Bed x 1 Bath Residential Dwellings at 18 Ludisia Grange Treeby WA 6164,Department of Housing and Works,"$ 743,000.00 "
202539214,Construction of 2 - 2 Bed x 1 Bath Residential Dwellings at 42 Harmony Avenue Clarkson WA 6030,Department of Housing and Works,"$ 755,000.00 "
DoJ202540171,Provision of Web Designer to Review and Simplify eCourts Portal,Department of Justice,"$ 275,000.00 "
EMHS202515216,"Supply, delivery, installation, commission, testing, training and warranty of one Transient Elastography Unit for Royal Perth Hospital",East Metropolitan Health Service,"$ 240,900.00 "
ERA2025228,Technical advice-Review of the Benchmark Reserve Capacity Prices (BRCP) Procedure and Determination for 2028 29 Capacity Year,Economic Regulation Authority,"$ 105,503.00 "
ICWAIPP1582,Senior Project Manager,Insurance Commission of Western Australia,"$ 232,716.00 "
LG00722025,Project Management Services - Application and Integration Updates,Landgate,"$ 921,886.00 "
MRWA0349240136,Provision of Temporary Personnel - Traffic Management Officer ( Neerabup Depot )  - Metropolitan Region,Main Roads Western Australia,"$ 67,262.00 "
MRWA006725,Supply and Installation of 2026 Winter Revegetation Works on Graham Farmer Freeway,Main Roads Western Australia,"$ 229,988.00 "
MRWA0044210018,Pavement Repairs - Various Roads - Wheatbelt Region,Main Roads Western Australia,"$ 9,053,781.00 "
PROMSA25115,Outdoor Upgrades - Carramar Primary School,Programmed Facility Management,"$ 34,176.00 "
PROMSA25099,Outdoor Upgrades - Eddystone Primary School,Programmed Facility Management,"$ 75,810.00 "
DBCARIAT5625,Water and Wastewater SCADA Upgrade,Rottnest Island Authority,"$ 713,913.00 "
WAPOL03524,Cancer recovery support,Western Australia Police Force,"$ 350,000.00 "
DOC202239042A,Independent Reporting Services for Special Guardianship,Department of Communities,"$ 220,000.00 "
ED250174,QAS Software License and Support Subscriptions,Department of Education,"$ 112,716.00 "
DEED2526016,Energy Ahead - Final Program Evaluation,Department of Energy and Economic Diversification,"$ 145,945.00 "
DHW202596269,Design and Construct 1 x (4 Bed x 2 Bath) Single Resident Dwelling at Lot 863 (185) Woollcott Avenue Brabham WA 6055,Department of Housing and Works,"$ 446,654.00 "
DHW0739801622,Department of Housing and Works - Albany Entertainment Centre - Lift Drive Unit Replacement,Department of Housing and Works,"$ 103,656.00 "
DHW0411925N,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 152,655.00 "
DHW0411925M,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 143,000.00 "
DHW0411925L,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 189,872.00 "
LGIRS25379,Electrical Works - Switchboard Replacement,"Department of Mines, Petroleum and Exploration","$ 168,000.00 "
DOT417725,Backup for M365 and Entra ID,Department of Transport and Major Infrastructure,"$ 141,033.00 "
DWER104825,Consultant for Pilbara Water Planning Supply,Department of Water and Environmental Regulation,"$ 300,164.00 "
HSS202515295,Clinical Incident Management System – Services of a Project Manager,Health Support Services,"$ 179,124.00 "
ICWA061625,Work Health and Safety Management System - Audit and Consulting Services,Insurance Commission of Western Australia,"$ 103,320.00 "
MRWA0349240140,Provision of Temporary Personnel - Business Support Officer - Metropolitan Region,Main Roads Western Australia,"$ 59,817.00 "
MRWA010325,Provision of Aboriginal Heritage Services for Great Eastern Hwy (H005) – Material Pit Development Activity,Main Roads Western Australia,"$ 150,076.00 "
MRWA008725,Provision of Aboriginal Heritage Services for Eyre Highway (H003) & Coolgardie-Esperance Highway (H010),Main Roads Western Australia,"$ 70,017.00 "
NMHS202514848,"Supply, delivery, installation and commissioning of a Gamma Spectrometer for the GMP RAPID Cyclotron Project",North Metropolitan Health Service,"$ 81,004.00 "
MW25033,NMHS – Fire Door Replacement (G Block) - SCGH,North Metropolitan Health Service,"$ 83,975.00 "
MW24113,KEMH Paging System Upgrade,North Metropolitan Health Service,"$ 288,674.00 "
PTA251047,Temporary Personnel,Public Transport Authority,"$ 88,000.00 "
WAPOL11125,CCTV Headend and Camera Replacement - Mandurah Detectives,Western Australia Police Force,"$ 78,100.00 "
DBCABGPA20612025,SIGNIFICANT GLASS HOUSE REPAIRS,Botanic Gardens and Parks Authority,"$ 227,994.00 "
DOC9601625,CONSTRUCTION OF A NEW LANDFILL TRENCH ON THE EXISTING BIDYADANGA COMMUNITY LANDFILL FACILITY INCLUDING EARTHWORKS AND DRAINAGE BUNDS & REMEDIATION OF EXISTING TRENCH,Department of Communities,"$ 649,925.00 "
DOC202523828,Family and Domestic Violence Children and Young People Therapeutic Service,Department of Communities,"$ 1,100,000.00 "
ED250811,2026 Year 8 Sydney and Canberra tour for North Albany Senior High School,Department of Education,"$ 123,750.00 "
DHW25001,"Licensing, Support and Maintenance for OrbusInfinity Software",Department of Housing and Works,"$ 270,363.00 "
DHW0742902522A,Western Australia Police - Halls Creek Police station- Replacement of Microphone Amplifiers - Charge Room,Department of Housing and Works,"$ 35,024.00 "
DHW0411925R,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 383,285.00 "
DHW0411925Q,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 132,465.00 "
DHW0333125,Department of Training and Workforce Development - Narrogin TAFE Campus - Carpark repairs and drainage,Department of Housing and Works,"$ 457,165.00 "
DHW0296825,Department of Education - O'Connor ESC -  Relocation of 1 GLA and Admin Transportable Classrooms including associated works,Department of Housing and Works,"$ 427,680.00 "
DHW0277825,Various agencies - Various Sites - Provision of Routine Maintenance for Fall Arrest Systems - Pilbara,Department of Housing and Works,"$ 43,405.00 "
DHW0251125,"Various agencies - Provision of Routine Maintenance for Hoists, Cranes and Lifting Equipment - Pilbara",Department of Housing and Works,"$ 17,617.00 "
DPIRD2025133,Program Management Services,Department of Primary Industries and Regional Development,"$ 2,239,792.00 "
DOT418725,Project Director to join the OMID office on major infrastructure projects - Adrian Gould,Department of Transport and Major Infrastructure,"$ 226,875.00 "
DOT418325,Accountant contracted to assist with the OMID transition,Department of Transport and Major Infrastructure,"$ 241,794.00 "
PTA251020,Aveva Plant SCADA 2023 Configuration Training,Public Transport Authority,"$ 67,375.00 "
PTA250927,Signalling Testing Services - Bassendean Turnback Improvements,Public Transport Authority,"$ 223,619.00 "
PTA250913,Bassendean Station Bus Interchange Expansion,Public Transport Authority,"$ 1,674,518.00 "
PTA250874,Certification of Station Sign Structures,Public Transport Authority,"$ 203,500.00 "
PTA250820,N&I Communications System Technician,Public Transport Authority,"$ 78,589.00 "
DHW2025000446,"Procure power service connections for lots 59, 60,61,62 &63 at Fossil Street-Muludja Aboriginal Community",Department of Housing and Works,"$ 150,516.00 "
DBCA374CUA1202025,Cost Centre – 374 Oracle Legacy Systems Oracle Forms Systems Upgrade Services and Implementation,"Department of Biodiversity, Conservation and Attractions","$ 107,040.00 "
ED240162,Auspice Services to Enable the Delivery of Vocation Education and Training in Public Schools,Department of Education,"$ 21,000,000.00 "
DHW9624425,SWC - Enabling Works - Innaloo,Department of Housing and Works,"$ 897,685.00 "
DHW25005,Asset Management Support Services,Department of Housing and Works,"$ 248,090.00 "
DHW0411925P,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 172,673.00 "
DHW0403425C,Department of Education Feasibility - Anne Hamersley Primary School - Administration Extension - Architectural Services,Department of Housing and Works,"$ 16,500.00 "
DHW0156925,Department of Education - Dardanup Primary School - Delivery Installation of 1 x GLA Module,Department of Housing and Works,"$ 101,228.00 "
DOJ202448250,Development of an Artificial Intelligence Strategy and Adoption Roadmap for the Department of Justice,Department of Justice,"$ 552,000.00 "
DOT700525,Request for Applications for the Provision of Practical Driving Assessment Services for Light and Medium Licence Classes at Specified Locations in Regional Western Australia,Department of Transport and Major Infrastructure,"$ 4,413,915.00 "
DOT408825,Cleaning of Ablution Blocks at Batavia Coast Marina,Department of Transport and Major Infrastructure,"$ 36,358.00 "
MRWA0349240132,Provision of Temporary Personnel - Maintenance Road Worker - Metropolitan Region,Main Roads Western Australia,"$ 8,534,697.00 "
MRWA0346240002A,Provision of Cisco networking equipment,Main Roads Western Australia,"$ 176,902.00 "
MRWA025824,Supply of Domain01 Block Storage Renewal,Main Roads Western Australia,"$ 892,536.00 "
MRWA011125,Supply of VMware Subscription Renewal 2025,Main Roads Western Australia,"$ 601,747.00 "
PTA250022,Provision of Accredited Training - Diploma of Project Management 2025 - 2028,Public Transport Authority,"$ 45,600.00 "
DBCARIAT8425,Transportable Generator,Rottnest Island Authority,"$ 257,675.00 "
SMHS202514533,Fremantle Hospital Transcranial Magnetic Stimulation (TMS) Machine,South Metropolitan Health Service,"$ 77,965.00 "
F2500246,Provision of a Temporary Grandstand,VenuesWest,"$ 340,000.00 "
20251290WAM,Provision of Pest Control Services for the WA Museum Collections and Research Centre,Western Australian Museum,"$ 159,843.00 "
